https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1659139200000,2022-07-30 00:00:00,ADA/USDT,0.52170,0.52490,0.52010,0.52440,15418114,8061455.23980,11817
1659052800000,2022-07-29 00:00:00,ADA/USDT,0.51290,0.54560,0.50600,0.52170,1314293479,691234394.05660,1004413
1658966400000,2022-07-28 00:00:00,ADA/USDT,0.51110,0.52450,0.48810,0.51280,1052284013,533798572.75300,770506
1658880000000,2022-07-27 00:00:00,ADA/USDT,0.46740,0.51210,0.45840,0.51100,1055581483,509200900.06600,771715
1658793600000,2022-07-26 00:00:00,ADA/USDT,0.47470,0.47710,0.45050,0.46740,828373359,383380831.69800,603486
1658707200000,2022-07-25 00:00:00,ADA/USDT,0.51190,0.51550,0.47360,0.47470,904321076,445187527.54170,685091
1658620800000,2022-07-24 00:00:00,ADA/USDT,0.51690,0.53670,0.50960,0.51190,1084474624,565017288.63980,849356
1658534400000,2022-07-23 00:00:00,ADA/USDT,0.48260,0.51840,0.47260,0.51680,957551536,469525027.69830,700948
1658448000000,2022-07-22 00:00:00,ADA/USDT,0.49910,0.51120,0.47680,0.48250,816273073,404770081.32920,617872
1658361600000,2022-07-21 00:00:00,ADA/USDT,0.49060,0.50220,0.47530,0.49920,1013479474,494826373.94840,756854
1658275200000,2022-07-20 00:00:00,ADA/USDT,0.51500,0.54850,0.48600,0.49070,1475731091,766955088.61590,1137016
1658188800000,2022-07-19 00:00:00,ADA/USDT,0.49010,0.52610,0.47300,0.51490,1390074294,692131797.90080,1055925
1658102400000,2022-07-18 00:00:00,ADA/USDT,0.44760,0.49980,0.44530,0.49000,1347898628,645383059.39260,974296
1658016000000,2022-07-17 00:00:00,ADA/USDT,0.45770,0.46580,0.44120,0.44750,676287736,306244843.90200,505827
1657929600000,2022-07-16 00:00:00,ADA/USDT,0.44160,0.45880,0.43120,0.45770,711209579,316571806.83020,516909
1657843200000,2022-07-15 00:00:00,ADA/USDT,0.44130,0.45370,0.43200,0.44170,850978870,375454436.58920,583154
1657756800000,2022-07-14 00:00:00,ADA/USDT,0.43790,0.44690,0.41620,0.44140,996697151,429076040.20540,630748
1657670400000,2022-07-13 00:00:00,ADA/USDT,0.41680,0.44230,0.40130,0.43790,1386469760,583670308.03100,813078
1657584000000,2022-07-12 00:00:00,ADA/USDT,0.43440,0.44230,0.41510,0.41670,906265922,390692604.27080,607851
1657497600000,2022-07-11 00:00:00,ADA/USDT,0.46220,0.46250,0.43080,0.43440,803593897,359502517.47500,623902
1657411200000,2022-07-10 00:00:00,ADA/USDT,0.47770,0.47950,0.45450,0.46210,598413386,279099362.82510,461575
1657324800000,2022-07-09 00:00:00,ADA/USDT,0.46560,0.48460,0.46490,0.47770,565839185,270158940.60000,457225
1657238400000,2022-07-08 00:00:00,ADA/USDT,0.47730,0.49340,0.46000,0.46560,824345006,389622038.27570,592151
1657152000000,2022-07-07 00:00:00,ADA/USDT,0.46190,0.48240,0.46050,0.47730,689495539,323735141.06910,464436
1657065600000,2022-07-06 00:00:00,ADA/USDT,0.45680,0.46520,0.44640,0.46200,709414300,324371649.18350,527419
1656979200000,2022-07-05 00:00:00,ADA/USDT,0.46930,0.47230,0.44390,0.45680,916317976,418758852.91390,662235
1656892800000,2022-07-04 00:00:00,ADA/USDT,0.45590,0.47630,0.44400,0.46930,994814152,456248367.00260,675012
1656806400000,2022-07-03 00:00:00,ADA/USDT,0.45560,0.45980,0.44310,0.45590,547024838,246758839.23340,387842
1656720000000,2022-07-02 00:00:00,ADA/USDT,0.44850,0.46170,0.44000,0.45550,620933954,279669826.64920,449026
1656633600000,2022-07-01 00:00:00,ADA/USDT,0.45940,0.47490,0.44220,0.44850,1022773081,464550715.91370,645652
1656547200000,2022-06-30 00:00:00,ADA/USDT,0.46570,0.46740,0.43300,0.45940,1161074780,519635694.64840,767252
1656460800000,2022-06-29 00:00:00,ADA/USDT,0.46890,0.47680,0.45820,0.46570,875459149,409718575.07780,624799
1656374400000,2022-06-28 00:00:00,ADA/USDT,0.48520,0.49740,0.46640,0.46900,864371067,417511884.26560,627045
1656288000000,2022-06-27 00:00:00,ADA/USDT,0.48950,0.50860,0.47500,0.48520,813382182,401467543.75690,594389
1656201600000,2022-06-26 00:00:00,ADA/USDT,0.49830,0.52600,0.48810,0.48950,999813516,508157678.45020,811404
1656115200000,2022-06-25 00:00:00,ADA/USDT,0.49790,0.50770,0.47800,0.49820,723803871,357673106.22090,600163
1656028800000,2022-06-24 00:00:00,ADA/USDT,0.47960,0.50970,0.47560,0.49800,1034591136,513060169.25770,823003
1655942400000,2022-06-23 00:00:00,ADA/USDT,0.45890,0.48290,0.45560,0.47960,793304870,374078690.79120,646973
1655856000000,2022-06-22 00:00:00,ADA/USDT,0.48100,0.48130,0.45520,0.45890,1043652325,488404148.84190,841942
1655769600000,2022-06-21 00:00:00,ADA/USDT,0.49150,0.51140,0.47420,0.48100,1157263564,573772168.72090,987199
1655683200000,2022-06-20 00:00:00,ADA/USDT,0.48480,0.50880,0.46090,0.49140,1336725917,648531364.44370,1066502
1655596800000,2022-06-19 00:00:00,ADA/USDT,0.45440,0.48980,0.43560,0.48470,1338274704,616973910.58470,1102970
