https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1629936000000,2021-08-26 00:00:00,XMR/USDT,314.28,317.96,286.06,291.63,280719.086,84086146.31108,225559
1629849600000,2021-08-25 00:00:00,XMR/USDT,307.71,325.82,295.94,314.18,418275.168,130334191.44528,271945
1629763200000,2021-08-24 00:00:00,XMR/USDT,318.39,340.50,302.60,307.66,512986.484,164513699.66429,328100
1629676800000,2021-08-23 00:00:00,XMR/USDT,306.66,335.29,302.17,318.41,441737.444,142247330.76691,309427
1629590400000,2021-08-22 00:00:00,XMR/USDT,288.51,307.38,275.91,306.74,318998.922,92711411.10436,220446
1629504000000,2021-08-21 00:00:00,XMR/USDT,282.55,294.04,272.73,288.39,263457.642,74323865.70611,194021
1629417600000,2021-08-20 00:00:00,XMR/USDT,264.61,283.70,262.31,282.45,268757.997,73517766.79377,198600
1629331200000,2021-08-19 00:00:00,XMR/USDT,252.69,264.62,246.99,264.44,170538.163,43636651.91439,149181
1629244800000,2021-08-18 00:00:00,XMR/USDT,256.22,262.74,244.72,252.65,242224.367,61832018.65604,182233
1629158400000,2021-08-17 00:00:00,XMR/USDT,266.84,278.39,255.13,256.19,234486.821,62793042.64424,196236
1629072000000,2021-08-16 00:00:00,XMR/USDT,272.31,285.76,266.06,266.86,290424.607,80360135.58628,195584
1628985600000,2021-08-15 00:00:00,XMR/USDT,271.90,275.52,261.56,272.31,175212.971,46985947.55714,134846
1628899200000,2021-08-14 00:00:00,XMR/USDT,273.08,279.72,265.09,271.94,197787.498,53664378.15007,136642
1628812800000,2021-08-13 00:00:00,XMR/USDT,257.51,273.71,254.74,273.09,209306.469,55555905.55809,145367
1628726400000,2021-08-12 00:00:00,XMR/USDT,268.28,277.06,252.24,257.52,264668.790,69528021.60570,174196
1628640000000,2021-08-11 00:00:00,XMR/USDT,266.73,279.88,265.86,268.29,270699.042,73950576.67540,167899
1628553600000,2021-08-10 00:00:00,XMR/USDT,269.44,271.20,260.37,266.79,205768.281,54607591.65395,148202
1628467200000,2021-08-09 00:00:00,XMR/USDT,257.28,272.22,253.60,269.46,247773.544,65204488.18224,160358
1628380800000,2021-08-08 00:00:00,XMR/USDT,271.90,275.00,255.96,257.23,322888.622,86677233.00975,196982
1628294400000,2021-08-07 00:00:00,XMR/USDT,263.08,275.95,258.69,271.89,269541.980,72008638.63726,165516
1628208000000,2021-08-06 00:00:00,XMR/USDT,252.79,267.80,250.27,263.07,281942.760,73258323.30155,189224
1628121600000,2021-08-05 00:00:00,XMR/USDT,244.05,253.86,237.17,252.77,264988.832,65157260.04937,180569
1628035200000,2021-08-04 00:00:00,XMR/USDT,225.92,245.55,222.93,244.04,185513.888,43055235.24908,124363
1627948800000,2021-08-03 00:00:00,XMR/USDT,232.45,236.75,223.57,225.87,181190.424,41675650.20625,131760
1627862400000,2021-08-02 00:00:00,XMR/USDT,235.35,244.59,228.00,232.47,198480.173,46824826.18417,146016
1627776000000,2021-08-01 00:00:00,XMR/USDT,239.92,249.74,231.80,235.37,248534.191,60575844.06188,165288
1627689600000,2021-07-31 00:00:00,XMR/USDT,241.75,249.15,234.23,239.90,219965.630,52975196.08060,135962
1627603200000,2021-07-30 00:00:00,XMR/USDT,241.62,245.36,229.96,241.72,210648.559,49977113.31797,130186
1627516800000,2021-07-29 00:00:00,XMR/USDT,235.26,248.05,230.42,241.56,258962.499,62350601.60784,155895
1627430400000,2021-07-28 00:00:00,XMR/USDT,225.40,235.44,221.86,235.36,209675.241,47844414.42780,147369
1627344000000,2021-07-27 00:00:00,XMR/USDT,217.80,226.49,213.47,225.37,229171.675,50375011.10069,148364
1627257600000,2021-07-26 00:00:00,XMR/USDT,212.47,235.06,211.99,217.75,344896.724,77608420.43166,204681
1627171200000,2021-07-25 00:00:00,XMR/USDT,208.29,214.48,203.57,212.50,154540.294,32323320.47533,103999
1627084800000,2021-07-24 00:00:00,XMR/USDT,203.64,210.62,201.55,208.27,162329.626,33401593.53171,103370
1626998400000,2021-07-23 00:00:00,XMR/USDT,197.42,203.82,193.81,203.58,160440.159,31790076.64916,102600
1626912000000,2021-07-22 00:00:00,XMR/USDT,196.57,202.28,189.67,197.42,183277.188,35859062.92169,112006
1626825600000,2021-07-21 00:00:00,XMR/USDT,182.71,199.98,178.56,196.50,218940.547,41839906.58785,133163
1626739200000,2021-07-20 00:00:00,XMR/USDT,188.84,191.55,178.32,182.69,264877.560,48618933.25337,141455
1626652800000,2021-07-19 00:00:00,XMR/USDT,199.24,200.18,187.24,188.83,203998.024,39576477.11183,111609
1626566400000,2021-07-18 00:00:00,XMR/USDT,197.39,204.80,196.15,199.28,148778.697,29858978.78943,92108
1626480000000,2021-07-17 00:00:00,XMR/USDT,192.67,199.22,190.81,197.32,158545.646,30804445.09264,99065
1626393600000,2021-07-16 00:00:00,XMR/USDT,196.53,199.86,191.08,192.68,174388.766,33960289.87810,115060
1626307200000,2021-07-15 00:00:00,XMR/USDT,203.23,205.33,189.93,196.53,196785.228,38574272.69711,126718
1626220800000,2021-07-14 00:00:00,XMR/USDT,203.58,205.00,192.10,203.24,172015.253,34297105.65252,124296
1626134400000,2021-07-13 00:00:00,XMR/USDT,205.92,211.40,200.29,203.60,157259.321,32363741.17211,113719
1626048000000,2021-07-12 00:00:00,XMR/USDT,211.68,216.73,202.76,205.94,158955.722,33296554.02856,112779
1625961600000,2021-07-11 00:00:00,XMR/USDT,209.58,214.42,207.70,211.72,109499.529,23118416.86755,83469
1625875200000,2021-07-10 00:00:00,XMR/USDT,212.64,217.47,206.49,209.56,163634.911,34806843.07899,115034
1625788800000,2021-07-09 00:00:00,XMR/USDT,205.17,214.76,199.19,212.63,159233.118,32921016.30826,109496
1625702400000,2021-07-08 00:00:00,XMR/USDT,215.01,215.79,201.48,205.14,206258.224,42785727.80845,141283
1625616000000,2021-07-07 00:00:00,XMR/USDT,221.52,231.69,214.13,214.95,223737.254,50096542.48191,133947
1625529600000,2021-07-06 00:00:00,XMR/USDT,214.26,222.32,211.56,221.51,170900.111,37001570.84490,117736
1625443200000,2021-07-05 00:00:00,XMR/USDT,219.69,220.33,205.27,214.30,205913.571,43827908.09866,137377
1625356800000,2021-07-04 00:00:00,XMR/USDT,214.80,225.21,212.71,219.73,168491.895,37174634.84528,116329
1625270400000,2021-07-03 00:00:00,XMR/USDT,211.15,216.33,206.37,214.80,138426.649,29465317.46640,94689
1625184000000,2021-07-02 00:00:00,XMR/USDT,205.40,211.72,199.18,211.12,155253.772,31976269.00773,116733
1625097600000,2021-07-01 00:00:00,XMR/USDT,223.14,223.45,203.03,205.39,232973.522,48919943.68597,151461
1625011200000,2021-06-30 00:00:00,XMR/USDT,217.59,223.83,208.66,223.10,232598.406,50516353.39212,150430
1624924800000,2021-06-29 00:00:00,XMR/USDT,212.96,227.00,211.91,217.73,252619.670,55537193.94473,150723
1624838400000,2021-06-28 00:00:00,XMR/USDT,211.66,217.73,205.74,212.96,234887.566,49834978.23935,140490
1624752000000,2021-06-27 00:00:00,XMR/USDT,202.45,211.98,195.19,211.78,192033.128,38688612.02418,135521
1624665600000,2021-06-26 00:00:00,XMR/USDT,194.79,202.78,184.98,202.45,332737.755,64463783.27981,205822
1624579200000,2021-06-25 00:00:00,XMR/USDT,225.58,227.61,192.41,194.81,372137.940,76885413.41270,224953
1624492800000,2021-06-24 00:00:00,XMR/USDT,218.51,227.00,204.08,225.60,261597.964,56705341.90000,166531
1624406400000,2021-06-23 00:00:00,XMR/USDT,201.75,224.02,192.37,218.44,325627.608,69518265.65290,199814
1624320000000,2021-06-22 00:00:00,XMR/USDT,202.82,225.68,179.97,201.77,529579.741,107768147.84016,314623
1624233600000,2021-06-21 00:00:00,XMR/USDT,264.32,265.68,200.00,202.77,456105.208,105487917.78179,301061
1624147200000,2021-06-20 00:00:00,XMR/USDT,267.72,271.14,247.50,264.38,280946.247,73301835.33093,188219
1624060800000,2021-06-19 00:00:00,XMR/USDT,265.72,282.12,262.83,267.67,350558.175,95973928.99328,224133
1623974400000,2021-06-18 00:00:00,XMR/USDT,276.75,279.93,260.63,265.79,371147.210,100714054.70388,223687
1623888000000,2021-06-17 00:00:00,XMR/USDT,262.72,281.83,261.72,276.76,170075.409,46696755.41024,128634
1623801600000,2021-06-16 00:00:00,XMR/USDT,278.04,288.64,259.20,262.86,236753.330,65151431.69901,166809
1623715200000,2021-06-15 00:00:00,XMR/USDT,275.25,285.35,272.01,278.05,235017.461,65468814.26531,173481
1623628800000,2021-06-14 00:00:00,XMR/USDT,260.53,275.27,258.23,275.27,225410.292,60145060.24312,158863
1623542400000,2021-06-13 00:00:00,XMR/USDT,242.94,262.24,237.23,260.46,167756.653,41615908.20074,126466
1623456000000,2021-06-12 00:00:00,XMR/USDT,242.74,251.60,231.81,243.03,194700.319,47259179.83867,137890
1623369600000,2021-06-11 00:00:00,XMR/USDT,255.48,258.61,240.06,242.65,162974.840,41071039.39443,131811
1623283200000,2021-06-10 00:00:00,XMR/USDT,274.53,282.99,254.15,255.23,278405.695,75123864.14948,197922
1623196800000,2021-06-09 00:00:00,XMR/USDT,253.43,274.97,236.90,274.55,270712.279,69869766.21013,196910
1623110400000,2021-06-08 00:00:00,XMR/USDT,248.92,255.52,222.00,253.27,288166.148,70299399.80111,189632
1623024000000,2021-06-07 00:00:00,XMR/USDT,272.47,281.77,246.77,248.98,194973.292,52637479.08653,142827
1622937600000,2021-06-06 00:00:00,XMR/USDT,263.75,276.85,262.32,272.43,146138.780,39374983.96250,117716
1622851200000,2021-06-05 00:00:00,XMR/USDT,287.43,295.19,257.18,263.78,217683.960,60262554.60171,175444
1622764800000,2021-06-04 00:00:00,XMR/USDT,309.54,312.03,267.45,287.36,279231.336,80249104.09054,215182
1622678400000,2021-06-03 00:00:00,XMR/USDT,294.48,315.62,285.50,309.54,299017.735,90628904.97548,230589
1622592000000,2021-06-02 00:00:00,XMR/USDT,266.15,295.04,262.29,294.44,233331.571,65001451.44428,176178
1622505600000,2021-06-01 00:00:00,XMR/USDT,272.20,276.61,252.44,266.21,223288.164,58653439.67321,166171
1622419200000,2021-05-31 00:00:00,XMR/USDT,261.71,275.76,242.29,272.15,239082.274,61709447.82348,185006
1622332800000,2021-05-30 00:00:00,XMR/USDT,243.00,268.08,225.72,261.70,314611.585,79715372.90530,231201
1622246400000,2021-05-29 00:00:00,XMR/USDT,262.14,297.40,228.56,242.99,921936.778,247556081.33323,537587
1622160000000,2021-05-28 00:00:00,XMR/USDT,252.75,267.51,218.42,261.96,456421.730,112767662.62651,298728
1622073600000,2021-05-27 00:00:00,XMR/USDT,268.38,269.10,242.73,252.66,248599.602,63553373.60188,173013
1621987200000,2021-05-26 00:00:00,XMR/USDT,246.63,275.18,242.56,268.38,319845.175,83011758.51375,213222
1621900800000,2021-05-25 00:00:00,XMR/USDT,256.33,265.45,226.31,246.74,357126.853,87312852.18995,244547
1621814400000,2021-05-24 00:00:00,XMR/USDT,225.59,256.67,214.40,256.23,502064.760,118856192.20375,323669
1621728000000,2021-05-23 00:00:00,XMR/USDT,230.92,260.85,174.34,225.59,1001370.191,215330535.97711,562834
1621641600000,2021-05-22 00:00:00,XMR/USDT,256.19,262.43,222.14,231.01,630240.135,151290750.06717,399929
1621555200000,2021-05-21 00:00:00,XMR/USDT,281.43,329.88,227.34,256.07,1529040.106,438281887.14436,1018560
1621468800000,2021-05-20 00:00:00,XMR/USDT,197.81,289.85,180.24,281.43,800891.008,194485116.50745,499132
1621382400000,2021-05-19 00:00:00,XMR/USDT,341.12,345.58,148.40,197.82,748302.781,188000189.91884,477743
1621296000000,2021-05-18 00:00:00,XMR/USDT,340.02,361.37,326.80,341.14,253050.485,87037998.53225,219299
